Code,Food Name,Energy_(kJ),Energy_(kcal),Water (g),Protein (g),Fat (g),Carb (g),Fibre (g),Ash (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Selenium (mcg),VitA_RAE,VitA_RE,Retinol,BetaCaratone,Thiamin,Riboflavin,Niacin,DietaryFolatEq,FoodFolate,VitB12,VitC
15001,Uji wa mahindi (Maize Porridge),221,52,87.5,1.5,1.1,8.5,1.1,0.3,25.0,0.3,12,64,50,10.0,0.33,2.0,7.0,7.0,7.0,3.0,0.02,0.05,0.2,7.0,7.0,0.09,0.0
15002,"Sorghum, Finger Millet and Maize Porridge",174,41,89.8,1.3,0.9,6.3,1.3,0.4,33.0,0.5,14,47,57,10.0,0.27,2.0,7.0,7.0,7.0,3.0,0.02,0.05,0.3,5.0,5.0,0.09,0.0
15003,Kaimati (Fried Dumplings),1800,429,18.8,4.6,21.8,52.8,1.6,0.4,17.0,2.1,16,93,81,4.0,0.45,0.0,30.0,30.0,30.0,1.0,0.33,0.25,2.0,,76.0,0.25,0.0
15004,Mahamri (Swahili Doughnuts),1730,413,22.8,6.0,22.1,46.6,2.1,0.4,20.0,2.8,19,113,101,4.0,0.56,0.0,41.0,42.0,41.0,1.0,0.43,0.3,2.7,,60.0,0.34,0.1
15005,Whole Maize Flour Ugali,596,141,64.5,3.3,1.8,26.0,3.8,0.5,12.0,1.1,31,150,93,7.0,0.77,4.0,0.0,0.0,0.0,0.0,0.08,0.04,0.8,20.0,20.0,0.0,0.0
15006,Maize and Finger Millet Flour Ugali,562,133,64.0,3.1,1.3,24.0,6.6,1.0,79.0,2.9,48,112,158,6.0,0.73,5.0,0.0,0.0,0.0,0.0,0.07,0.02,1.2,24.0,24.0,0.0,0.0
15007,"Maize, Red Sorghum and Finger Millet Ugali",543,129,66.2,3.1,1.4,23.3,5.3,0.8,39.0,1.9,44,118,131,6.0,0.72,5.0,0.0,0.0,0.0,0.0,0.07,0.03,1.0,20.0,20.0,0.0,0.0
15008,Cassava and Red Sorghum Ugali,489,116,69.6,2.1,0.8,23.4,3.4,0.7,24.0,0.9,38,74,163,9.0,0.5,5.0,0.0,0.0,0.0,3.0,0.05,0.04,0.7,14.0,14.0,0.0,0.5
15009,Refined Maize Flour Ugali,626,148,62.8,3.4,1.9,27.3,4.0,0.6,12.0,1.1,33,158,97,8.0,0.81,4.0,0.0,0.0,0.0,0.0,0.09,0.04,0.8,21.0,21.0,0.0,0.0
15010,"Sorghum, Maize flour & Finger Millet Ugali",634,150,61.0,1.9,0.7,32.1,3.6,0.7,26.0,1.3,33,61,92,5.0,0.44,5.0,0.0,0.0,0.0,1.0,0.04,0.02,0.7,11.0,11.0,0.0,0.0
15011,Cassava Flour Ugali,788,186,51.6,1.1,0.3,43.7,2.2,1.3,79.0,0.8,26,57,326,20.0,0.41,1.0,1.0,1.0,0.0,7.0,0.03,0.05,0.6,18.0,18.0,0.0,1.8
15012,"Cassava, Millet & Sorghum Porridge",194,46,87.9,0.5,0.1,10.2,1.0,0.3,18.0,0.4,10,15,47,6.0,0.12,1.0,0.0,0.0,0.0,1.0,0.01,0.01,0.2,4.0,4.0,0.0,0.1
15013,Cassava Porridge (Uji wa Muhogo),121,28,92.6,0.1,0.0,6.8,0.3,0.2,12.0,0.1,4,7,39,5.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.1,2.0,2.0,0.0,0.2
15014,Finger Millet Porridge (Uji wa Wimbi),168,40,88.8,0.7,0.2,7.8,2.1,0.4,35.0,1.1,16,17,52,4.0,0.16,2.0,0.0,0.0,0.0,0.0,0.01,0.0,0.4,6.0,6.0,0.0,0.0
15015,Bulrush Millet Porridge (Uji wa Mawele),350,83,79.2,2.0,1.0,15.7,1.6,0.6,9.0,6.0,17,49,55,5.0,0.77,7.0,0.0,0.0,0.0,0.0,0.04,0.03,0.3,21.0,21.0,0.0,0.4
15016,Rice Flour Porridge (Uji wa Mchele),235,56,87.5,0.6,1.3,10.2,0.2,0.1,4.0,0.1,5,17,26,5.0,0.11,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.2,1.0,1.0,0.0,0.1
15017,Omena Stew (Silver Sardine Stew),747,180,68.5,8.8,13.3,6.0,0.7,2.7,378.0,1.0,20,333,188,449.0,2.26,4.0,52.0,60.0,44.0,94.0,0.04,0.18,1.6,12.0,12.0,5.61,6.4
15018,“Busara” (Whole Maize and Finger Millet Porridge),170,40,88.6,1.0,0.3,7.3,2.5,0.4,60.0,1.9,20,32,41,4.0,0.22,2.0,0.0,0.0,0.0,0.0,0.02,0.01,0.5,8.0,8.0,0.0,0.0
15019,White Chapati,1770,424,18.4,7.8,21.1,49.6,2.5,0.7,25.0,3.9,22,126,90,100.0,0.61,0.0,59.0,59.0,58.0,1.0,0.56,0.36,3.6,280.0,20.0,0.48,0.0
15020,Brown Chapati,1720,413,20.5,7.3,22.9,40.9,7.2,1.2,23.0,2.4,76,182,213,120.0,1.5,25.0,1.0,1.0,1.0,1.0,0.29,0.08,2.0,,0.0,0.0,0.0
15022,Fried Egg (Mayai ya Kukaangwa),926,223,64.2,13.1,17.9,2.5,0.0,2.4,56.0,1.8,14,186,132,717.0,1.16,23.0,192.0,192.0,192.0,0.0,0.11,0.5,0.0,60.0,60.0,1.66,0.0
15023,Omelette,502,121,77.6,6.6,7.8,5.3,1.5,1.2,36.0,1.5,17,105,169,189.0,0.75,10.0,95.0,109.0,81.0,165.0,0.08,0.25,0.4,38.0,38.0,0.7,13.4
15024,Spanish Omelette,667,161,74.0,7.5,12.9,3.2,0.8,1.6,35.0,1.3,13,112,135,409.0,0.75,12.0,110.0,119.0,102.0,102.0,0.08,0.28,0.2,40.0,40.0,0.88,20.3
15025,Meat Samosa (Sambusa ya Nyama),1850,443,13.9,18.8,22.2,40.5,3.1,1.6,51.0,11.5,37,288,302,175.0,2.99,13.0,66.0,85.0,48.0,223.0,0.47,0.42,5.1,,32.0,1.19,7.4
15026,Vegetable Samosa (Sambusa ya Mboga),1360,325,30.2,8.5,13.1,40.2,6.2,1.7,55.0,3.8,35,144,333,243.0,1.76,1.0,138.0,237.0,39.0,1185.0,0.46,0.31,3.2,,52.0,0.33,23.7
15027,Pancakes (Chapati za Maji),1140,270,41.5,8.3,8.5,39.2,1.7,0.8,77.0,2.9,22,163,138,37.0,0.83,4.0,77.0,78.0,76.0,8.0,0.4,0.4,2.5,,24.0,0.77,0.0
15028,Tosti Mayai (Egg Toast),1180,280,40.3,12.5,10.7,32.4,1.9,2.1,56.0,2.1,25,167,152,587.0,1.2,20.0,106.0,106.0,106.0,0.0,0.14,0.29,2.2,47.0,47.0,1.0,0.0
15029,Drop Scones,1870,449,23.5,7.1,29.8,37.4,1.4,0.9,61.0,2.4,18,135,112,116.0,0.69,4.0,88.0,89.0,86.0,21.0,0.33,0.33,2.0,,21.0,0.66,0.0
15030,“Terere” (Stir fried amaranth leaves),342,83,80.6,3.0,5.3,2.9,5.5,2.7,192.0,4.9,87,72,442,161.0,0.75,14.0,209.0,418.0,0.0,2510.0,0.03,0.16,0.6,37.0,37.0,0.0,49.3
15031,Sukumawiki (Stir fried kales),225,54,87.0,2.5,3.2,2.1,3.8,1.5,291.0,2.3,33,56,198,123.0,0.42,0.0,122.0,243.0,0.0,1460.0,0.08,0.1,0.8,35.0,35.0,0.0,82.1
15032,Stir-fried Cabbage,411,100,82.7,1.2,8.6,3.1,2.4,1.9,48.0,0.6,11,43,305,510.0,0.24,1.0,0.0,0.0,0.0,1.0,0.04,0.04,0.4,11.0,11.0,0.0,38.6
15033,Mrenda and Seveve (Jute Mallow and Pumpkin leaves),249,59,85.3,3.4,2.3,5.4,2.0,1.6,141.0,1.8,26,105,197,180.0,0.62,2.0,121.0,24.0,580.0,0.03,0.22,0.3,21.0,21.0,0.31,9.19,
15034,Pumpkin Leaves,410,99,80.8,3.2,6.7,5.5,1.5,2.3,166.0,2.0,51,101,236,332.0,0.67,2.0,61.0,107.0,16.0,548.0,0.03,0.16,0.6,17.0,17.0,0.24,10.7
15035,"Saget, Terere & Managu (Spider plant, Amaranth & African Nightshade leaves)",251,60,83.0,4.3,1.9,4.5,3.8,2.5,3.3,39.0,104,244,174,0.7,8.0,,244.0,19.0,1350.0,0.02,0.22,0.4,80.0,80.0,0.25,16.1,
15036,Pilau (Spiced Rice),895,213,56.3,6.9,9.4,24.8,1.1,1.5,19.0,1.3,20,138,285,349.0,1.24,3.0,5.0,8.0,2.0,39.0,0.04,0.1,1.5,12.0,12.0,0.4,5.9
15037,Mseto wa Ndengu (Rice with green grams),433,103,74.5,3.7,1.3,18.4,1.5,0.6,19.0,0.8,23,53,101,59.0,0.48,2.0,1.0,1.0,0.0,9.0,0.04,0.04,0.3,30.0,30.0,0.0,0.3
15038,Mseto wa Maharagwe (Add Rice with Beans),807,193,58.2,5.0,7.9,23.5,3.8,1.7,27.0,1.3,24,129,172,356.0,0.76,1.0,3.0,5.0,0.0,27.0,0.06,0.06,0.6,29.0,29.0,0.0,2.3
15039,Nderema (Vine Spinach),299,72,84.7,3.2,5.2,1.4,3.5,1.9,233.0,9.5,37,55,389,170.0,0.41,0.0,166.0,313.0,20.0,1759.0,0.05,0.17,0.8,44.0,44.0,0.0,56.7
15040,"Fiqe (Red Sorghum, Beans and Teff Flour)",807,192,52.5,7.2,5.8,24.2,7.4,2.9,170.0,3.5,77,214,315,495.0,1.4,4.0,82.0,131.0,34.0,584.0,0.15,0.12,1.4,62.0,62.0,0.0,24.0
15041,"Qanchibelo (Beef, Maize & Wheat Flour)",560,133,68.6,9.6,3.1,15.7,1.7,1.3,62.0,5.9,24,156,169,225.0,1.97,8.0,40.0,63.0,18.0,270.0,0.14,0.18,2.4,,13.0,0.56,19.3
15042,Qita (Maize and Wheat flour pancake),1020,241,44.3,5.1,5.6,41.2,2.8,0.9,24.0,2.8,28,131,105,158.0,1.81,0.0,62.0,63.0,61.0,10.0,0.35,0.23,2.4,,28.0,0.15,0.2
15043,"Gurdo, Marqa (Ugali in Sour Milk)",1020,242,46.9,6.6,9.6,29.7,5.1,2.0,103.0,2.2,78,246,264,268.0,1.36,9.0,65.0,67.0,63.0,24.0,0.1,0.2,1.3,31.0,31.0,0.15,0.4
15044,Mchuzi wa ndengu (Green Gram Stew),454,109,74.4,6.3,4.2,9.3,4.0,1.7,33.0,1.6,43,61,184,243.0,0.57,5.0,4.0,8.0,0.0,46.0,0.08,0.04,0.4,71.0,71.0,0.0,2.1
15045,Mchuzi wa Maharagwe (Bean Stew),263,63,83.1,3.5,1.4,7.2,3.7,1.1,20.0,1.0,17,92,125,165.0,0.44,1.0,4.0,8.0,0.0,50.0,0.04,0.03,0.3,24.0,24.0,0.0,1.5
15046,Mchuzi wa Ndengu Kamande (Lentil Stew),455,108,72.8,7.1,3.0,11.1,4.5,1.6,26.0,2.0,28,81,183,275.0,0.93,8.0,3.0,7.0,0.0,40.0,0.08,0.05,0.6,22.0,22.0,0.0,4.3
15047,Nyirinyiri (Camel meat),2170,521,8.5,34.6,33.6,20.0,0.0,3.3,7.0,6.9,21,213,407,346.0,3.62,17.0,1.0,3.0,0.0,15.0,0.04,0.31,8.3,12.0,12.0,2.31,0.0
15048,Mbuboyi (Blood Cooked in Fresh Milk),410,97,76.2,11.5,2.0,8.3,0.0,2.0,57.0,13.9,8,62,199,361.0,1.08,17.0,65.0,0.05,0.17,0.2,,,,,,,
15049,Ashir,529,125,68.2,2.7,0.9,25.8,1.2,1.2,18.0,0.2,9,29,39,128.0,0.21,1.0,5.0,5.0,5.0,2.0,0.02,0.03,0.1,3.0,3.0,0.06,0.0
15051,"Ugali (Cassava, Fingermillet and Sorghum Flour Ugali)",613,145,61.3,2.0,0.6,30.7,4.3,1.1,69.0,1.7,40,70,236,11.0,0.53,4.0,1.0,0.0,4.0,0.05,0.04,0.9,18.0,18.0,0.0,0.8,
15052,Yam Stew,394,94,76.7,1.5,2.4,15.3,2.5,1.6,13.0,0.7,14,46,279,347.0,0.21,0.0,34.0,67.0,0.0,404.0,0.06,0.02,0.4,15.0,15.0,0.0,5.2
15053,Githeri (stewed Maize & Beans),661,157,60.4,6.7,4.2,19.7,7.2,1.8,39.0,2.2,41,214,281,233.0,1.01,2.0,0.0,1.0,0.0,2.0,0.1,0.06,0.8,52.0,52.0,0.0,0.5
15054,"Mukimo (Maize, Beans, Potatoes & Pumpkin Leaves)",498,118,67.1,5.0,0.7,20.5,4.8,1.9,38.0,2.0,36,159,436,266.0,0.74,2.0,9.0,0.0,52.0,0.08,0.05,0.9,48.0,48.0,0.0,2.7,
15055,Githeri (Sauteed Fresh Maize and beans),773,185,55.3,6.9,7.2,17.8,10.5,2.2,41.0,2.2,43,222,308,335.0,1.32,3.0,2.0,5.0,0.0,27.0,0.12,0.08,1.0,57.0,57.0,0.0,0.8
15056,Matoke (Stewed Green Bananas & Meat),494,118,72.9,6.0,4.1,13.3,1.8,1.9,16.0,3.9,22,105,380,381.0,1.12,5.0,19.0,36.0,2.0,208.0,0.05,0.08,1.4,22.0,22.0,0.34,9.8
15057,"Mukimo (Fresh Maize, Potatoes & Pumpkin Leaves)",457,109,68.8,3.0,1.0,18.5,6.8,1.9,44.0,1.6,35,116,404,336.0,0.93,2.0,14.0,27.0,0.0,163.0,0.09,0.06,1.2,36.0,36.0,0.0,3.7
15058,Stewed Potatoes & Arrowroots,380,90,78.0,1.9,2.1,15.0,1.8,1.2,8.0,0.9,17,38,401,173.0,0.44,1.0,3.0,7.0,0.0,40.0,0.08,0.05,1.0,12.0,12.0,0.0,7.1
15059,"Mukimo wa Njahi (Black Beans, Green Bananas & Potatoes)",693,164,53.7,9.5,0.6,26.5,7.2,2.4,31.0,3.2,65,152,606,273.0,1.06,4.0,0.0,0.0,2.0,0.2,0.08,1.2,19.0,19.0,0.0,4.2,
15060,Githeri (Fresh beans and Maize),751,180,57.0,7.8,7.6,15.1,10.4,2.2,17.0,1.7,24,119,319,433.0,1.21,3.0,6.0,13.0,0.0,76.0,0.13,0.09,1.4,54.0,54.0,0.0,9.2
15061,Mashed Potato and Bananas,750,179,62.1,2.3,8.5,22.1,2.6,2.4,12.0,1.4,23,70,551,544.0,0.36,1.0,4.0,8.0,0.0,49.0,0.06,0.04,0.9,35.0,35.0,0.0,12.6
15062,Mukimo wa Njahi (Raw & Ripe Bananas),636,151,57.7,6.4,0.6,26.6,6.5,2.2,24.0,2.2,54,103,437,229.0,0.79,3.0,1.0,2.0,0.0,12.0,0.15,0.07,0.8,14.0,14.0,0.0,9.8
15063,Groundnut Sauce,1240,298,50.2,10.6,23.4,9.6,3.5,2.7,132.0,2.3,101,209,366,492.0,1.2,7.0,28.0,28.0,28.0,2.0,0.28,0.21,5.0,27.0,27.0,0.17,0.0
15064,Vimumunya vya Chumvi (Pumpkin & Coconut Milk),297,72,85.8,1.3,4.9,4.6,1.9,1.5,16.0,0.3,13,39,183,325.0,0.25,1.0,88.0,176.0,0.0,1060.0,0.05,0.05,0.6,22.0,22.0,0.0,5.5
15065,Vinolo (Banana and Maize Flour Ugali),524,124,68.4,2.2,0.9,25.5,2.5,0.6,9.0,1.2,22,68,147,9.0,1.16,0.0,16.0,16.0,16.0,1.0,0.12,0.08,0.9,,8.0,0.0,6.2
